SUBJECT;LABEL;DICE;SSIM
120111-PP;Hippocampus;0.17779978393950305;0.9671636034936257
120111-PP;Thalamus;0.22808867023924567;0.9653845884206436
120111-PP;WhiteMatter;0.6897270432266878;0.8365754997589023
122317;Amygdala;0.0;0.9980350954338015
122317;GreyMatter;0.6121328917487789;0.8089650424844935
122317;Hippocampus;0.16310738153861615;0.9666624330244273
122317;Thalamus;0.20764796386663936;0.9632801514594795
122317;WhiteMatter;0.7408921205936131;0.850697449418452
122317-PP;Amygdala;0.0;0.9980350954338015
122317-PP;GreyMatter;0.5628953383818741;0.7985430194731525
122317-PP;Hippocampus;0.1664689804548502;0.9679234116382159
122317-PP;Thalamus;0.20814689295453945;0.963362617499961
122317-PP;WhiteMatter;0.6487973003983502;0.8230305764157885
122620;Amygdala;0.0;0.9979056738194529
122620;GreyMatter;0.6289391619411298;0.7995592656788363
122620;Hippocampus;0.15187646005885744;0.9589805978960619
122620;Thalamus;0.23713304184884448;0.9660460525892587
122620;WhiteMatter;0.7724932422387819;0.8679246911295243
122620-PP;Amygdala;0.0;0.9979056738194529
122620-PP;GreyMatter;0.6073576044855548;0.7956695485081511
122620-PP;Hippocampus;0.152413157085767;0.9595520961212208
122620-PP;Thalamus;0.23663524474648462;0.9661439959283603
122620-PP;WhiteMatter;0.6600079110507706;0.8398289398458525
123117;Amygdala;0.0;0.9979767626549287
123117;GreyMatter;0.5285246560362425;0.7592032003220084
123117;Hippocampus;0.08078589481285353;0.9522572006856049
123117;Thalamus;0.009225874867444327;0.9913415365433168
123117;WhiteMatter;0.6443094633579389;0.8261800763918989
123117-PP;Amygdala;0.0;0.9979767626549287
123117-PP;GreyMatter;0.5173610759444527;0.770866080446346
123117-PP;Hippocampus;0.08168683154570282;0.9531364865006622
123117-PP;Thalamus;0.0;0.9924023124632102
123117-PP;WhiteMatter;0.6090842681844008;0.8231760057833098
123925;Amygdala;0.0;0.9979849674950781
123925;GreyMatter;0.5409543943555397;0.7733845742461375
123925;Hippocampus;0.14122373960804427;0.9572174628858412
123925;Thalamus;0.2585977525545586;0.9773329492897783
123925;WhiteMatter;0.7178241876193828;0.847841143968276
123925-PP;Amygdala;0.0;0.9979849674950781
123925-PP;GreyMatter;0.5538839686267377;0.7820413447880015
123925-PP;Hippocampus;0.1429470349556274;0.9579311230992619
123925-PP;Thalamus;0.22875081442871528;0.97788095337676
123925-PP;WhiteMatter;0.6981838808610462;0.846245575641799
124422;Amygdala;0.0;0.9978740986608429
124422;GreyMatter;0.5587865658913717;0.7774411180111178
124422;Hippocampus;0.1707301667508843;0.959160435826441
124422;Thalamus;0.22898651763726935;0.972504016654391
124422;WhiteMatter;0.7461054233097721;0.8629235187525747
124422-PP;Amygdala;0.0;0.9978740986608429
124422-PP;GreyMatter;0.567841430623461;0.78244555467829
124422-PP;Hippocampus;0.17147599591419815;0.9599498723728026
124422-PP;Thalamus;0.2155511811023622;0.9726723553834672
124422-PP;WhiteMatter;0.7111449929524551;0.8567449707259234
