SUBJECT;LABEL;DICE;SSIM
120111;GreyMatter;0.6189398410286412;0.8054393951086041
120111;Hippocampus;0.13432520839928247;0.9681895017705274
120111;Thalamus;0.23212462536639988;0.9676364831537446
120111;WhiteMatter;0.8147939839899165;0.8833185759107051
120111-PP;Amygdala;0.0;0.9978390678347506
120111-PP;GreyMatter;0.6059443364365384;0.8059583656222902
120111-PP;Hippocampus;0.13586284731552642;0.9687034008614804
120111-PP;Thalamus;0.23123849462188065;0.9677131797699481
120111-PP;WhiteMatter;0.7351559016224746;0.8554374299012517
122317;Amygdala;0.0;0.9980258560086998
122317;GreyMatter;0.6031487847882112;0.8089854772446426
122317;Hippocampus;0.12297124385480504;0.9702851122789712
122317;Thalamus;0.20620136604441627;0.9639894498147781
122317;WhiteMatter;0.7237977383002034;0.8405594575503628
122317-PP;Amygdala;0.0;0.9980258560086998
122317-PP;GreyMatter;0.544214095913759;0.7974305411183737
122317-PP;Hippocampus;0.12403740374037404;0.9715789205037596
122317-PP;Thalamus;0.20655748552522746;0.9640695424460187
122317-PP;WhiteMatter;0.6393256779518577;0.815831683135362
122620;Amygdala;0.0;0.9978923263621933
122620;GreyMatter;0.6157104740928312;0.7905481487028252
122620;Hippocampus;0.1255039569956697;0.9605437024530046
122620;Thalamus;0.23550205323461393;0.9681468463141463
122620;WhiteMatter;0.7886152933488852;0.8745090101121034
122620-PP;Amygdala;0.0;0.9978923263621933
122620-PP;GreyMatter;0.611708481155639;0.7926890347955243
122620-PP;Hippocampus;0.1253758268190018;0.9610826652645422
122620-PP;Thalamus;0.23126940736219115;0.9681629591620785
122620-PP;WhiteMatter;0.7046630259566335;0.8546250633898699
123117;Amygdala;0.0;0.9979738582899703
123117;GreyMatter;0.5175394065270648;0.7594076425398063
123117;Hippocampus;0.07098147484667748;0.9550428637429226
123117;Thalamus;0.0007869147321679501;0.9936027549013087
123117;WhiteMatter;0.5963903217912941;0.8192402684370225
123117-PP;Amygdala;0.0;0.9979738582899703
123117-PP;GreyMatter;0.5292255208667465;0.771946610299829
123117-PP;Hippocampus;0.07153787299158378;0.9554181193756032
123117-PP;Thalamus;0.0;0.9938708528658017
123117-PP;WhiteMatter;0.6309978009404108;0.8276559537206089
123925;Amygdala;0.0;0.9979832383316941
123925;GreyMatter;0.5496024402384082;0.7761470278463394
123925;Hippocampus;0.1437983969569352;0.9614421194317432
123925;Thalamus;0.27638642662738144;0.9754774704673425
123925;WhiteMatter;0.7478880841502755;0.854351223777399
123925-PP;Amygdala;0.0;0.9979832383316941
123925-PP;GreyMatter;0.5636858578319147;0.7848228238841051
123925-PP;Hippocampus;0.1460126516644198;0.9620548683471492
123925-PP;Thalamus;0.26601775999796157;0.9757437676078262
123925-PP;WhiteMatter;0.7326265704739001;0.8543628462534832
124422;Amygdala;0.0;0.9978923052743757
124422;GreyMatter;0.5264816281552395;0.7691506961049598
124422;Hippocampus;0.08269065258112966;0.9545024346516532
124422;Thalamus;0.0;0.9943737940254891
124422;WhiteMatter;0.6039979333580748;0.832554988609781
124422-PP;Amygdala;0.0;0.9978923052743757
124422-PP;GreyMatter;0.5402430511230792;0.7755057976856184
124422-PP;Hippocampus;0.08259656833741864;0.9548383011822897
124422-PP;Thalamus;0.0;0.9943756243511287
124422-PP;WhiteMatter;0.6227701232777375;0.838468684275792
