SUBJECT;LABEL;DICE;SSIM
122317;Hippocampus;0.15260953243518624;0.9690436689667724
122317;Thalamus;0.20842677217634026;0.9639761963199567
122317;WhiteMatter;0.7515276428134218;0.8567661936394942
122317-PP;Amygdala;0.0;0.9980350954338015
122317-PP;GreyMatter;0.5754092148042612;0.800176100851802
122317-PP;Hippocampus;0.15608342989571264;0.9699908728177828
122317-PP;Thalamus;0.20890657467642704;0.9640817525759436
122317-PP;WhiteMatter;0.667758733949528;0.8309076518029909
122620;Amygdala;0.0;0.9979056738194529
122620;GreyMatter;0.6293049557395434;0.7991634170498508
122620;Hippocampus;0.14389938854919399;0.9615189833893938
122620;Thalamus;0.23556812778543396;0.9666276033613239
122620;WhiteMatter;0.7801684395649428;0.8722825233923914
122620-PP;Amygdala;0.0;0.9979056738194529
122620-PP;GreyMatter;0.6131567126199896;0.7964118892013239
122620-PP;Hippocampus;0.14435226994294514;0.9618231507641786
122620-PP;Thalamus;0.23481120564969013;0.9667094260579634
122620-PP;WhiteMatter;0.6843081068926061;0.8483124419910434
123117;Amygdala;0.0;0.9979767626549287
123117;GreyMatter;0.5286254951934019;0.7606549609719059
123117;Hippocampus;0.07724924282914662;0.9553714414338661
123117;Thalamus;0.005771848625102096;0.9925239404064403
123117;WhiteMatter;0.635069659397091;0.8243583877561929
123117-PP;Amygdala;0.0;0.9979767626549287
123117-PP;GreyMatter;0.5294228023553045;0.7731914891570789
123117-PP;Hippocampus;0.07779957878062391;0.9554959660555615
123117-PP;Thalamus;0.0;0.9934434004365478
123117-PP;WhiteMatter;0.623959799098643;0.8263182988890393
123925;Amygdala;0.0;0.9979849674950781
123925;GreyMatter;0.537745501165129;0.7728378530691139
123925;Hippocampus;0.13133129393083157;0.9592325662726152
123925;Thalamus;0.2557838238015917;0.978350904801398
123925;WhiteMatter;0.7014486854389542;0.8442834125226012
123925-PP;Amygdala;0.0;0.9979849674950781
123925-PP;GreyMatter;0.554090622367817;0.7817610290343758
123925-PP;Hippocampus;0.13214571845987086;0.9596134350344034
123925-PP;Thalamus;0.22477941530994358;0.9788019403037622
123925-PP;WhiteMatter;0.7001649733427221;0.846965725820717
124422;Amygdala;0.0;0.9978740986608429
124422;GreyMatter;0.5573104126588422;0.7772759994857139
124422;Hippocampus;0.16190375760132167;0.9612634645928084
124422;Thalamus;0.2228624052515998;0.9735759205906066
124422;WhiteMatter;0.73656267807932;0.8603282239515093
124422-PP;Amygdala;0.0;0.9978740986608429
124422-PP;GreyMatter;0.5687393378191479;0.7823246206504015
124422-PP;Hippocampus;0.16326240125257988;0.9617598911668845
124422-PP;Thalamus;0.20904937220430042;0.9737082376506017
124422-PP;WhiteMatter;0.7168578683448572;0.8578513177424757
